,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,jamestown,1,US,1579716774,62,42.1,-79.24,35.01,8.05
1,waddan,0,LY,1579716774,47,29.16,16.14,55.11,9.46
2,qaanaaq,1,GL,1579716774,51,77.48,-69.36,-11.87,7.61
3,rikitea,0,PF,1579716774,80,-23.12,-134.97,78.06,12.53
4,grants,75,US,1579716775,56,35.15,-107.85,42.8,13.87
5,bima,1,ID,1579716775,93,-8.47,118.72,73.09,2.19
6,avarua,100,CK,1579716775,94,-21.21,-159.78,78.8,11.41
7,trincomalee,93,LK,1579716775,94,8.57,81.23,74.44,3.58
8,kaitangata,6,NZ,1579716775,90,-46.28,169.85,57.9,14.63
9,port moresby,84,CD,1579716796,75,-7.03,29.76,76.51,0.74
10,hofn,20,IS,1579716796,81,64.25,-15.21,42.8,23.04
11,vardo,75,NO,1579716796,92,70.37,31.11,23.0,54.13
12,tasiilaq,40,GL,1579716743,92,65.61,-37.64,21.2,6.93
13,casper,1,US,1579716796,51,42.87,-106.31,43.0,21.92
14,sarakhs,0,IR,1579716796,86,36.54,61.16,37.4,11.41
15,novozavidovskiy,57,RU,1579716797,83,56.55,36.43,26.58,10.42
16,saint-philippe,75,RE,1579716746,88,-21.36,55.77,80.6,12.75
17,alegrete,43,BR,1579716797,44,-29.78,-55.79,83.16,24.63
18,severo-kurilsk,89,RU,1579716797,87,50.68,156.12,16.43,12.68
19,mataura,57,NZ,1579716797,87,-46.19,168.86,57.99,11.99
20,aksarka,100,RU,1579716797,93,66.56,67.8,9.46,12.95
21,busselton,59,AU,1579716797,58,-33.65,115.33,64.0,10.29
22,stavyshche,40,UA,1579716797,100,50.4,29.53,37.4,15.66
23,puerto escondido,75,ES,1579716797,93,36.59,-6.23,51.8,5.82
24,ancud,77,CL,1579716797,56,-41.87,-73.82,71.6,14.99
25,kavaratti,0,IN,1579716713,67,10.57,72.64,82.63,4.0
26,romanovo,95,RU,1579716798,89,52.62,81.23,16.38,14.05
27,new norfolk,75,LR,1579716798,83,6.65,-10.59,77.0,5.82
28,puerto leguizamo,75,ES,1579716797,93,36.59,-6.23,51.8,5.82
29,nome,90,US,1579716798,84,64.5,-165.41,7.0,4.47
30,juegang,100,CN,1579716798,95,32.32,121.19,48.0,8.3
31,tezu,95,IN,1579716798,63,27.92,96.17,55.02,3.56
32,paamiut,100,GL,1579716798,66,61.99,-49.67,20.86,17.9
33,punta arenas,90,PH,1579716798,92,8.99,125.34,72.72,1.41
34,hermanus,49,ZA,1579716799,77,-34.42,19.23,71.01,5.01
35,namibe,13,AO,1579716799,82,-15.2,12.15,74.84,13.73
36,camargo,90,MX,1579716799,34,27.67,-105.17,65.1,12.8
37,butaritari,100,KI,1579716799,63,3.07,172.79,84.42,1.21
38,hualmay,97,PE,1579716799,62,-11.1,-77.61,77.67,6.78
39,ewa beach,11,ID,1579716799,77,-8.62,122.51,80.06,1.95
40,salto,75,UY,1579716744,66,-31.38,-57.97,84.2,21.92
41,raudeberg,75,NO,1579716800,68,61.99,5.14,41.0,10.29
42,hobart,90,AU,1579716800,100,-42.88,147.33,57.2,5.82
43,kruisfontein,100,ZA,1579716800,92,-34.0,24.73,60.13,4.47
44,pahrump,75,US,1579716538,58,36.21,-115.98,51.01,1.39
45,mahebourg,75,MU,1579716800,94,-20.41,57.7,79.0,8.05
46,hamilton,1,US,1579716575,36,39.18,-84.53,36.0,6.93
47,hithadhoo,51,MV,1579716800,79,-0.6,73.08,84.45,19.37
48,albany,75,US,1579716633,63,42.6,-73.97,35.01,3.36
49,pundaguitan,100,PH,1579716801,79,6.37,126.17,78.75,3.56
50,mandera,75,KE,1579716801,22,3.94,41.87,89.4,8.61
51,pevek,100,RU,1579716801,97,69.7,170.31,-13.36,2.51
52,abbeville,90,FR,1579716801,86,50.1,1.83,41.0,10.29
53,galveston,90,US,1579716801,77,29.37,-94.97,60.8,21.92
54,ushuaia,75,AR,1579716801,54,-54.8,-68.3,53.6,6.93
55,bilma,0,NE,1579716801,13,18.69,12.92,67.26,7.52
56,sao filipe,65,IN,1579716801,41,20.51,76.21,75.06,1.97
57,calbuco,74,CL,1579716802,60,-41.77,-73.13,68.0,17.22
58,saint-augustin,100,CA,1579716802,91,51.23,-58.65,16.43,2.04
59,kang,79,BW,1579716802,34,-23.68,22.79,82.53,5.28
60,faanui,100,PF,1579716802,77,-16.48,-151.75,82.53,14.34
61,port alfred,84,CD,1579716802,75,-7.03,29.76,76.51,0.74
62,suntar,100,RU,1579716802,92,62.14,117.63,-18.63,7.0
63,morant bay,20,JM,1579716802,61,17.9,-76.43,82.4,23.04
64,ilebo,86,CD,1579716802,69,-4.32,20.58,77.09,1.5
65,kloulklubed,75,PW,1579716802,83,7.04,134.26,78.8,4.7
66,manduria,40,IT,1579716802,71,40.4,17.63,53.6,9.17
67,luanda,75,AO,1579716803,74,-8.84,13.23,84.2,13.87
68,luderitz,9,NA,1579716803,53,-26.65,15.16,75.2,9.17
69,bethel,1,US,1579716803,40,41.37,-73.41,37.0,4.34
70,cape town,0,CL,1579716803,38,-36.41,-71.9,87.8,3.36
71,bluff,83,NZ,1579716803,87,-46.6,168.33,57.99,11.99
72,manta,40,EC,1579716591,74,-0.95,-80.73,84.2,5.82
73,aswan,0,EG,1579716803,38,24.09,32.91,57.2,19.46
74,portland,90,US,1579716555,87,45.52,-122.68,48.0,6.93
75,kodiak,1,US,1579716803,73,57.79,-152.41,23.0,7.65
76,georgetown,20,MY,1579716803,78,5.41,100.34,82.4,2.24
77,namatanai,0,PG,1579716803,76,-3.67,152.43,82.45,5.97
78,chuy,18,UY,1579716804,53,-33.7,-53.46,80.26,14.79
79,vaini,75,TO,1579716741,94,-21.2,-175.2,73.4,2.24
80,ferme-neuve,99,CA,1579716804,82,46.7,-75.45,28.65,11.74
81,kuytun,9,RU,1579716804,99,54.34,101.5,-13.32,4.09
82,carman,1,CA,1579716712,100,49.5,-98.0,25.0,6.93
83,saskylakh,0,RU,1579716742,93,71.92,114.08,-39.96,7.96
84,huarmey,91,PE,1579716804,58,-10.07,-78.15,79.65,5.1
85,sorland,75,NO,1579716804,74,67.67,12.69,35.6,24.16
86,talnakh,40,RU,1579716804,76,69.49,88.4,-9.4,24.61
87,zeya,96,RU,1579716805,98,53.75,127.27,-18.26,6.91
88,narsaq,75,GL,1579716675,67,60.92,-46.05,21.2,20.8
89,san jose,67,ML,1579716540,15,13.3,-4.9,91.0,7.2
90,barcelos,20,PT,1579716805,54,41.54,-8.62,59.0,3.36
91,tuy hoa,20,PH,1579716805,83,14.02,120.73,75.99,5.82
92,thompson,40,CA,1579716805,77,55.74,-97.86,3.2,9.17
93,tabou,19,CI,1579716805,75,4.42,-7.35,82.31,5.17
94,cidreira,100,BR,1579716805,75,-30.18,-50.21,73.27,18.54
95,constitucion,25,CL,1579716805,66,-35.33,-72.42,67.87,10.16
96,chunskiy,0,RU,1579716806,96,56.08,99.63,-14.33,3.24
97,puerto ayora,75,ES,1579716806,93,36.59,-6.23,51.8,5.82
98,hailar,85,CN,1579716806,98,49.2,119.7,-7.2,11.12
99,sola,28,VU,1579716806,73,-13.88,167.55,80.8,13.53
100,cherskiy,100,RU,1579716806,97,68.75,161.3,-27.08,7.27
101,balaipungut,20,ID,1579716806,94,1.05,101.28,78.8,3.33
102,bredasdorp,85,ZA,1579716806,72,-34.53,20.04,66.99,6.93
103,yeppoon,4,AU,1579716806,83,-23.13,150.73,80.6,4.7
104,lexington,1,US,1579716614,50,37.99,-84.48,37.99,6.46
105,east london,20,IS,1579716806,49,65.0,-15.0,46.4,34.45
106,nanortalik,89,GL,1579716806,69,60.14,-45.24,26.65,31.94
107,banda aceh,0,IN,1579716806,59,25.48,80.33,55.78,6.08
108,lebu,0,CL,1579716807,35,-37.62,-73.65,80.02,6.62
109,elat,75,IL,1579716807,62,29.56,34.95,57.2,8.61
110,kavieng,8,PG,1579716807,75,-2.57,150.8,83.1,10.98
